Artist,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Views,Likes,Comments
Gorillaz,0.818,0.705,6,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,693555221,6220896,169907
Gorillaz,0.676,0.703,8,-5.815,0.0302,0.0869,0.000687,0.0463,0.852,92.761,72011645,1079128,31003
Gorillaz,0.695,0.923,1,-3.93,0.0522,0.0425,0.0469,0.116,0.551,108.014,8435055,282142,7399
Gorillaz,0.689,0.739,2,-5.81,0.026,1.51E-05,0.509,0.064,0.578,120.423,211754952,1788577,55229
Gorillaz,0.663,0.694,10,-8.627,0.171,0.0253,0,0.0698,0.525,167.953,618480958,6197318,155930
Gorillaz,0.76,0.891,11,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264,259021161,1844658,72008
Gorillaz,0.716,0.897,4,-7.185,0.0629,0.012,0.262,0.325,0.358,127.03,451996,11686,241
Gorillaz,0.726,0.815,11,-5.886,0.0313,0.00799,0.081,0.112,0.462,140.158,1010982,17675,260
Gorillaz,0.741,0.913,2,-3.34,0.0465,0.00343,0.103,0.325,0.643,120.012,24459820,739527,20296
Gorillaz,0.625,0.877,10,-7.176,0.162,0.0315,0.0811,0.672,0.865,192.296,154761056,1386920,39240
Red Hot Chili Peppers,0.592,0.767,9,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,1018811259,4394471,121452
Red Hot Chili Peppers,0.559,0.345,4,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,246687714,1213572,32761
Red Hot Chili Peppers,0.618,0.938,9,-3.442,0.0456,0.0179,0,0.167,0.875,91.455,336635759,1740224,32573
Red Hot Chili Peppers,0.595,0.717,0,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,435121530,1890900,37069
Red Hot Chili Peppers,0.458,0.795,0,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,673528656,3140356,60091
Red Hot Chili Peppers,0.427,0.9,11,-3.674,0.0499,0.116,1.75E-05,0.119,0.599,104.655,320871237,1272266,37004
Red Hot Chili Peppers,0.556,0.913,0,-2.36,0.0437,0.0193,8.59E-06,0.346,0.73,96.184,324228662,1456622,49461
Red Hot Chili Peppers,0.451,0.97,0,-4.938,0.107,0.0264,0.00355,0.102,0.198,122.444,179005296,784717,20084
Red Hot Chili Peppers,0.666,0.936,7,-9.919,0.0476,0.00244,0.086,0.153,0.776,91.577,86637926,434837,16029
Red Hot Chili Peppers,0.7,0.742,5,-6.777,0.0716,0.0722,0.0199,0.11,0.197,91.959,440037964,2094182,56516
50 Cent,0.902,0.72,6,-2.776,0.347,0.26,0,0.0749,0.805,90.059,1682616458,10481678,296745
50 Cent,0.614,0.574,11,-7.961,0.466,0.0253,3.20E-05,0.38,0.755,125.173,838974650,5014527,113251
50 Cent,0.489,0.692,1,-6.672,0.41,0.0322,0.00608,0.315,0.527,96.946,476133463,2523312,42075
50 Cent,0.7,0.758,10,-3.012,0.342,0.0444,1.30E-05,0.0401,0.889,78.693,572659065,3334710,60552
50 Cent,0.653,0.826,6,-2.93,0.354,0.0153,0.00146,0.131,0.416,108.52,441155628,2765887,84117
50 Cent,0.925,0.659,3,-4.763,0.231,0.206,7.88E-05,0.279,0.71,97.018,39825951,382791,12038
50 Cent,0.576,0.807,6,-3.908,0.317,0.353,0.000363,0.0512,0.908,90.012,503248572,2759199,54805
50 Cent,0.853,0.776,8,-4.221,0.261,0.0714,0,0.181,0.659,94.028,5289821,245935,9008
50 Cent,0.892,0.631,11,-2.522,0.302,0.244,0,0.0235,0.838,93.975,46096,612,14
